stop_id,stop_name
18304,Lake & Ridge
18305,Fullerton & Southport
18306,Fullerton & Greenview
18308,Western & Devon
18309,Western & Devon
18310,Western & Touhy
18311,Western & Foster
18312,Western & 77th Street
18313,Western & Hirsch
18314,South Chicago & 73rd Street/Ellis
18315,Van Buren & Throop
18316,Blue Island & Leavitt
18317,63rd Street Beach
18318,Michigan & 14th Street
18319,Fullerton & Greenview
18320,Kedzie & Pratt
18321,Damen & Fullerton
18322,Ridge & Mulford
18323,Grand & Chicago
18329,Diversey & Clark/Broadway
18330,Western & Elston/Diversey
18331,Western & Belmont
18333,79th Street & King Drive
18334,Harrison & Ashland
18335,Harrison & Loomis
18336,Harrison & Loomis
18337,Diversey & Austin
18339,Harrison & Throop
18340,Harrison & Throop
18342,7061 N. Kedzie
18345,Maple & Emerson
18346,Western & Roscoe
18347,Fullerton & Elston
18348,Fullerton & Damen
18352,Lawrence & Washtenaw
18353,Cermak & Prairie
18354,Sheridan & Emerson
18355,Sheridan & Haven
18356,Sheridan & Lincoln
18357,Sheridan & Haven
18358,Milwaukee & Caton
18359,Milwaukee & Paulina
18363,Cicero & 19th Street
18364,Cicero & 23rd Street
18365,Cicero & 24th Place
18366,Cicero & 19th Street
18367,Cicero & 29th Street
18368,3700 S. Cicero
18369,3700 S. Cicero
18370,Cicero & 24th Place
18374,Grand & Homan
18375,Grand & Augusta
18376,Grand & Augusta
18377,Grand & Homan
18379,Harlem & Augusta
18382,Meade & 64th Place
18383,26th Street & Homan
18384,95th Red Line Station
18385,Cottage Grove & 44th Street
18386,Broadway & Roscoe
18387,South Chicago & 69th Street
18388,Central & Lawrence
18389,Central & Lawrence
18390,95th Red Line Station
18393,Broadway & Lawrence
18395,Roosevelt & Ashland
18396,Michigan & Monroe
18400,47th Street & Hoyne
18401,Ashland & Farwell
18402,Orleans & Oak
18403,Harlem & 61st Place
18404,State & 57th Street
18412,Walton & Clark
18414,Vincennes & 77th Street
18415,8401 S Holland
18417,47th Street & Laflin
18418,South Chicago & Dante
18419,Racine & 51st Street
18420,Racine & 51st Street
18421,Kedzie & 107th Street
18422,Kedzie & 107th Street
18424,Milwaukee & Belmont
18425,Milwaukee & Keeler
18427,Bryn Mawr & Nagle
18428,Ogden & Western
18429,Ogden & Washtenaw
18430,Cottage Grove & 45th Street
18431,Western & Irving Park
18432,King Drive & 89th Street
18433,Pullman Community Center
18434,75th Street & Prairie
18435,Midway Orange Line Station
18436,Halsted & Lincoln/Fullerton
18437,Western & Belle Plaine
18438,Western & Berteau
18439,Foster & Leclaire
18441,Cermak & Wood
18442,Cermak & Wood
18443,Cermak & Damen
18444,Cermak & Marshall Boulevard
18445,Cermak & Western
18447,Dearborn & Chicago
18448,55th Street & Kenneth
18449,Dodge & Main
18450,Dodge & Oakton
18451,Pullman Community Center
18453,Montrose & Lincoln
18454,Broadway & Cullom
18455,Broadway & Cullom
18468,Halsted & Armitage
18469,Halsted & Armitage
18471,Harlem & Talcott
18472,Austin & Irving Park
18473,Ashland & 70th Street
18475,North Ave & Kolmar
18476,North Ave & Keeler
18477,North Ave & Kolmar
18478,Vincennes & 79th Street
18479,Vincennes & 76th Street
18480,Vincennes & 79th Street
18481,North Ave & Central Park
18482,Armitage & Western
18483,Armitage & Western
18484,Kedzie & 19th Street
18485,Kedzie & 19th Street
18486,Harrison & Paulina
18487,Chicago & Clark
18488,State & 33rd Street
18489,State & 33rd Street
18491,North Ave & Lockwood
18492,North Ave & Laramie
18493,North Ave & Laramie
18494,North Ave & Long
18495,Illinois & Wells
18497,Van Buren & Halsted
18498,Jefferson & Van Buren
18500,Diversey & Cicero
18501,Ogden & Lawndale
18504,Devon & Damen
18505,Devon & Damen
18506,Kedzie & Roosevelt
18507,Kedzie & Arthington
18508,Damen & Schiller
18510,Wacker (Upper) & Michigan
18511,115th Street & Indiana
18512,115th Street & Michigan
18513,115th Street & Michigan
18514,115th Street & Perry
18560,4720 W Foster
18568,18th Street & Racine
18569,Milwaukee & Armitage
18570,North Ave & Oakley
18571,Halsted & Cermak
18573,Western & Touhy
18575,Jackson & Racine
18576,Pulaski & 13th Street
18577,Pulaski & Roosevelt
18578,Milwaukee & Irving Park/Cicero
18580,Wilson & Broadway (Red Line)
18581,Damen & 65th Street
18582,Damen & Marquette Rd
18587,Central & Waveland
18588,Damen & 62nd Street
18589,Damen & 57th Street
18590,Damen & 56th Street
18591,Damen & 57th Street
18592,Damen & 63rd Street
18593,Damen & 69th Street
18595,Damen & 71st Street
18596,Damen & 74th Street
18597,Damen & 74th Street
18598,Damen & 76th Street
18599,111th Street & Kedzie
18600,111th Street & Kedzie
18601,111th Street & Central Park
18602,111th Street & Central Park
18603,71st Street & Dorchester
18604,71st Street & Woodlawn
18605,State & 93rd Street
18606,State & 83rd Street
18607,Lawrence & Keeler
18608,Cicero & Belden
18609,Howard & Oakley
18612,Foster & Avers
18613,State & Chicago (Red Line)
18614,Kedzie & Cortland
18615,Kedzie & Wabansia
18616,Irving Park & Rockwell
18617,Irving Park & Leavitt
18618,Irving Park & Campbell
18619,Ashland & Lake (Green & Pink Lines)
