stop_id,stop_name
365,Roosevelt & Pulaski
366,Roosevelt & Karlov
367,Roosevelt & Keeler
368,Roosevelt & Kildare
369,Roosevelt & Kostner
370,Roosevelt & Kilbourn
373,Roosevelt & 47th Avenue
375,Roosevelt & 49th Avenue
376,Roosevelt & 50th Avenue
377,Roosevelt & 51st Avenue
379,5300 W Roosevelt
380,Roosevelt & 54th Avenue
381,5500 W Roosevelt
382,Roosevelt & Central
386,Madison & Austin Terminal
388,Madison & Mayfield
389,Madison & Menard
390,Madison & Waller
391,Madison & Parkside
394,Madison & Lotus
395,Madison & Long
396,Madison & Lockwood
397,Madison & Laramie
402,Madison & Kilpatrick
403,Madison & Kenton
406,Madison & Kildare
409,Madison & Pulaski
412,Madison & Central Park
413,Madison & St. Louis
415,Madison & Spaulding
416,Madison & Kedzie
417,Madison & Albany
420,Madison & California
421,Madison & Washtenaw
423,Madison & Campbell
425,Madison & Oakley
427,Madison & Hoyne
428,Madison & Damen
429,Madison & United Center (1900 W)
430,Madison & Wood
431,Madison & Paulina
432,Madison & Ashland
435,Madison & Throop
436,Madison & Racine
437,Madison & Aberdeen
439,Madison & Peoria
440,Halsted & Madison
442,Washington & Jefferson
443,Washington & Canal
445,Washington & Franklin
446,Washington & Lasalle
448,Washington & State
449,Washington & Wabash
450,Madison & Wabash
455,Madison & Clinton
456,Madison & Jefferson
458,Madison & Peoria
459,Madison & Morgan
460,Madison & Aberdeen
462,Madison & Throop
463,Madison & Loomis
464,Madison & Laflin
465,Madison & Ashland
466,Madison & Paulina
468,Madison & United Center (1900 W)
469,Madison & Damen
470,Madison & Hoyne
473,Madison & Western
478,Madison & Francisco
479,Madison & Sacramento
480,Madison & Albany
482,Madison & Spaulding
484,Madison & St. Louis
485,Madison & Central Park
486,Madison & Hamlin
487,Madison & Springfield
494,Madison & Kenton
495,Madison & Kilpatrick
496,Madison & Cicero
497,Madison & Lamon
498,Madison & Lavergne
499,Madison & Leclaire
502,Madison & Long
505,Madison & Central
506,Madison & Parkside
507,Madison & Waller
508,Madison & Menard
509,Madison & Mayfield
510,Chicago & Austin Terminal
511,Chicago & Mayfield
512,Chicago & Menard
513,Chicago & Waller
515,Chicago & Central
516,Chicago & Pine
518,Chicago & Lockwood
520,Chicago & Leclaire
522,Chicago & Lamon
523,Chicago & Cicero
524,Chicago & Kilpatrick
525,Chicago & Kilbourn
527,Chicago & Kildare
528,Chicago & Keeler
529,Chicago & Karlov
530,Chicago & Pulaski
531,Chicago & Springfield
535,Chicago & St. Louis
537,Chicago & Spaulding
538,Chicago & Kedzie
540,Chicago & Sacramento
543,Chicago & Grand
544,Chicago & California
545,Chicago & Washtenaw
547,Chicago & Campbell
548,Chicago & Western
550,Chicago & Leavitt
551,Chicago & Hoyne
552,Chicago & Damen
553,Chicago & Wolcott
556,Chicago & Ashland
557,Chicago & Bishop
559,Chicago & Elizabeth
561,Chicago & Milwaukee (Blue Line)
563,Chicago & Sangamon
565,Chicago & Halsted
566,700 W Chicago
567,Chicago & Larrabee
569,Chicago & Hudson
572,Chicago & Franklin (Brown line)
574,Chicago & LaSalle
580,Chicago & Michigan
582,Chicago & Fairbanks
584,Fairbanks & Huron
587,Fairbanks & Ohio
589,Grand & McClurg
590,Grand & Fairbanks/Columbus
593,Fairbanks & Erie
595,Fairbanks & Superior
596,Fairbanks & Chicago
